Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
R38,4K7-±1%-0.063W-0402,311-4.7KLRTR-ND,BottomLayer,431.717,654.000,0
R35,47R-±1%-0.1W,311-47.0HRTR-ND,BottomLayer,434.488,-656.000,180
R36,47R-±1%-0.1W,311-47.0HRTR-ND,BottomLayer,434.488,-786.000,180
R39,33K-±1%-0.1W-0402,RHM33KCDTR-ND,BottomLayer,429.087,318.870,0
R40,33K-±1%-0.1W-0402,RHM33KCDTR-ND,BottomLayer,429.748,229.426,0
R4,12K-±1%-0.063W-0402,311-12.0KLRTR-ND,BottomLayer,905.283,498.000,180
R41,15K-±1%-0.063W-0402,311-15.0KLRTR-ND,BottomLayer,352.283,319.870,180
R42,15K-±1%-0.063W-0402,311-15.0KLRTR-ND,BottomLayer,352.283,230.000,180
R5,18K-±1%-0.063W-0402,RHM18KCDTR-ND,TopLayer,888.000,826.283,270
R6,56K-±1%-0.063W-0402,311-56.0KLRTR-ND,BottomLayer,979.283,372.000,180
R7,2K2-±1%-0.063W-0402,RHM2.20KCDTR-ND,BottomLayer,901.717,350.000,0
R8,62R-±1%-0.1W,311-62.0HRTR-ND,TopLayer,7.000,-444.512,270
R14,62R-±1%-0.1W,311-62.0HRTR-ND,TopLayer,-230.000,-440.512,270
R15,62R-±1%-0.1W,311-62.0HRTR-ND,TopLayer,-290.000,-440.512,90
R17,62R-±1%-0.1W,311-62.0HRTR-ND,TopLayer,-54.000,-443.488,90
R86,SHORT-0R0-0402,1276-3480-2-ND,BottomLayer,-5.527,455.527,135
R9,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,-64.528,-21.457,225
R12,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,-287.528,-22.528,225
R23,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,326.000,-370.717,270
R25,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,179.157,-33.283,90
R26,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,329.717,78.000,0
R29,100R-±1%-0.063W-0402,RHM100CDTR-ND,BottomLayer,223.157,-472.717,270
RP1,EXB223JX-,Y5223TR-ND,BottomLayer,718.701,558.779,90
RP10,EXB270JX-,Y5270TR-ND,BottomLayer,174.446,815.701,180
RP11,EXB101JX-,Y7101TR-ND,TopLayer,13.345,650.794,45
RP12,EXB101JX-,Y5101TR-ND,TopLayer,-43.683,593.744,45
RP2,EXB224JX-,Y5224TR-ND,BottomLayer,409.621,755.779,90
U1,AT25SF161-SSHD-T-,1265-1230-2-ND,TopLayer,-146.976,756.746,135
U10,E-L9637D013TR-,497-10483-2-ND,TopLayer,797.000,-66.268,180
U10,DO-NOT-FIT,,TopLayer,797.000,-66.268,180
U11,NCP114ASN330T1G-,NCP114ASN330T1GOSCT-ND,TopLayer,822.968,247.772,180
U12,NTB0102GT,568-5203-2-ND,BottomLayer,537.811,704.528,90
U14,NTB0102GT,568-5203-2-ND,BottomLayer,538.189,797.472,270
U13,ISL31472EIBZ-T7A-,ISL31472EIBZ-T7ATR-ND,TopLayer,620.000,453.000,180
U15,DO-NOT-FIT,,TopLayer,716.370,120.409,270
U15,NC7SZ86P5X-,NC7SZ86P5XTR-ND,TopLayer,716.370,120.409,270
U2,ST3222EBTR-,497-6532-2-ND,TopLayer,299.330,-390.158,270
U6,ST3222EBTR-,497-6532-2-ND,TopLayer,295.984,-31.252,90
U3,LM46000PWPR-,296-40222-2-ND,TopLayer,970.433,620.858,270
U4,SND233DR-,296-35967-2-ND,TopLayer,-21.000,-221.000,180
U5,SND233DR-,296-35967-2-ND,TopLayer,-256.000,-217.000,180
U7,NCX2200GW,568-7526-2-ND,TopLayer,597.032,-461.409,90
U8,GD32FICES>,,TopLayer,161.300,408.872,45
U9,NCX2200GW,568-7526-2-ND,TopLayer,522.591,-22.630,0
X2,ABS07-32.768KHZ-7-T-,535-9543-2-ND,TopLayer,-237.051,255.502,225
Z1,5.0SMDJ40A-,F6808TR-ND,TopLayer,1261.000,-716.000,90
Z1,DO-NOT-FIT,,TopLayer,1261.000,-716.000,90
Z2,BZT52B27S-RRG-,BZT52B27SRRG-ND,TopLayer,723.000,-477.000,0
Z4,BZT52B27S-RRG-,BZT52B27SRRG-ND,TopLayer,575.000,-193.000,90
Z5,SMF51A-RQG-,SMF51ARQG-ND,TopLayer,649.000,-166.000,90
Z6,BZB84-B6,1727-7561-2-ND,TopLayer,618.598,209.693,180
