Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
GPS1,,,TopLayer,16.5000,15.6750,270
L1,1285AS-H-2R2M,1285AS-H-2R2M=P2,TopLayer,37.6000,3.4250,0
L2,DFE201610E-2R2M,DFE201610E-2R2M=P2,TopLayer,20.2750,35.1000,180
L3,DFE201610E-2R2M,DFE201610E-2R2M=P2,TopLayer,24.6750,32.6250,180
L4,LQP03TN6N8J02D,LQP03TN6N8J02D,TopLayer,4.7500,32.3125,0
L5,LQP03TN10NJ02D,LQP03TN10NJ02D,TopLayer,11.5750,33.0250,0
M1,NRF9160-SICA-B1A-R,nRF9160-SICA-B1A-R,TopLayer,41.1000,24.1500,0
Q1,PMF170XP,PMF170XP,TopLayer,38.8750,16.4250,180
R1,20K-0402,ERJ-2RKF2002X,TopLayer,33.4000,6.4000,90
R10,100K-0201,ERJ-1GNF1003C,TopLayer,17.8250,29.0000,90
R11,100K-0201,ERJ-1GNF1003C,TopLayer,16.7500,29.0000,270
R14,150R-0402,ERJ-2RKF1500X,TopLayer,42.0500,16.7000,270
R15,1.2M-0402,ERJ-2GEJ125X,TopLayer,38.8500,14.3750,0
R2,10K-0201,ERJ-1GNF1002C,TopLayer,31.9000,14.1500,90
R6,10K-0201,ERJ-1GNF1002C,TopLayer,34.5500,32.3500,90
R12,10K-0201,ERJ-1GNF1002C,TopLayer,17.8250,30.4000,90
R13,10K-0201,ERJ-1GNF1002C,TopLayer,16.7500,30.4000,90
R3,10R-0402,ERJ-2RKF10R0X,TopLayer,38.3500,31.2638,90
R4,100R-0402,ERJ-2RKF1000X,TopLayer,36.3500,31.2638,90
R5,100R-0402,ERJ-2RKF1000X,TopLayer,37.3513,31.2638,90
R7,100R-0402,ERJ-2RKF1000X,TopLayer,36.3500,35.0577,270
R8,100R-0402,ERJ-2RKF1000X,TopLayer,37.3500,35.0500,270
R9,100R-0402,ERJ-2RKF1000X,TopLayer,38.3560,35.0577,270
R16,100R-0402,ERJ-2RKF1000X,TopLayer,30.4500,28.6500,90
R17,100R-0402,ERJ-2RKF1000X,TopLayer,29.5000,28.6500,270
RF_GNSS_P1,LQP03HQ18NH02D,LQP03HQ18NH02D,TopLayer,3.5500,27.9000,0
RF_GNSS_S1,0R-0.5A-0201,ERJ-1GN0R00C,TopLayer,3.8500,26.8000,90
RF_GNSS_S2,1.6PF-0201-25V,GJM0335C1E1R6BB01D,TopLayer,3.8500,28.9991,90
RF_P1,1.4PF-0402-50V,GJM1555C1H1R4WB01D,TopLayer,50.6500,24.2000,270
RF_P2,LQW15AN12NG00D,LQW15AN12NG00D,TopLayer,52.6000,18.9500,90
RF_R1,LQW15AN15NG00D,LQW15AN15NG00D,TopLayer,55.4250,23.4000,0
RF_R2,LQW15AN13NG00D,LQW15AN13NG00D,TopLayer,55.4250,15.6000,0
RF_S1,LQW15AN4N1B00D,LQW15AN4N1B00D,TopLayer,50.6500,22.1000,90
RF_S2,2PF-0402-50V,GJM1555C1H2R0WB01D,TopLayer,52.0500,20.5750,180
RF_S3,0R-0402,ERJ-2GE0R00X,TopLayer,55.4250,19.5000,180
SIM1,0201AAAG06A,0201AAAG06A,TopLayer,44.4000,7.1500,0
U1,FPF1204UCX,FPF1204UCX,TopLayer,31.6500,28.1250,90
U10,M95P32-IXMNT-E,M95P32-IXMNT/E,TopLayer,34.8250,11.1750,90
U2,MAX38640AELT,MAX38640AELT+T,TopLayer,34.3750,3.5750,180
U3,LIS2DH12TR,LIS2DH12TR,TopLayer,42.3500,31.2875,90
U4,CXD5605AGF-T2,CXD5605AGF-T2,TopLayer,14.1250,31.8500,0
U5,CXA3846GF-T2,CXA3846GF-T2,TopLayer,20.4750,31.8250,90
U6,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,4.7587,30.7750,90
U7,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,8.7750,32.7163,0
U8,BGA824N6E6327XTSA1,BGA824N6E6327XTSA1,TopLayer,6.6500,32.3125,180
XTAL1,32.768KHZ-6PF,TFX-04C-32.768KJ14482,TopLayer,24.6500,28.7500,0
Y1,NT2016SA-26.000000MHZ-NBG2,NT2016SA-26.000000MHZ-NBG2,TopLayer,10.2000,28.9750,90
