Designator,Value,Center-X,Center-Y,Rotation
RF_P1,9.1nH,200.9637,242.2315,90
RF_TERM,49.9R-1-10W,152.3212,238.1611,90
U1,STM32L072CZT6,156.3022,218.3520,0
U10,LENA-R8001-00C,184.2805,238.8881,270
U11,LSF0102DQER,176.3590,256.9364,180
U12,TBD,173.5089,220.9890,180
U13,MAX38640AENT,136.6181,246.4517,0
U15,SAFFB1G56KB0F0A,146.6067,238.1810,270
U16,BGA824N6E6327XTSA1,147.2980,236.8560,270
U20,BGA824N6E6327XTSA1,149.6030,240.0500,270
U17,UBX-F10050-KB,146.6500,247.9500,180
U18,STC3100IST,133.7332,221.6564,270
U19,ABSTS5A2-210M011M,149.6280,241.2865,180
U2,DRV5032FBDBZR,135.5570,235.6850,0
U21,B39162B9973P810,149.9910,235.2938,90
U22,RCP1500Q03,157.1469,235.1850,270
U3,MP2322GQH-Z,176.3305,215.5272,0
U4,TPS62902RPJR,188.3875,217.6000,270
U5,LIS2DH12TR,165.6974,217.6758,90
U6,TPS22915CYFPR,191.8140,257.3198,0
U8,TPS22915CYFPR,171.2224,257.3198,0
U14,TPS22915CYFPR,135.7774,251.2013,0
U7,M95P32-IXMNT-E,184.8764,255.5327,0
U9,BGM220PC22WGA2,161.1500,253.1500,0
XTAL1,32.768kHz,149.4170,219.8628,270
XTAL2,32.768kHz,143.0570,246.6500,270
Y1,NT2016SA-26.000000MHZ-NBG2,150.5921,252.2000,270
