Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
J1,PCS.06A,PCS.06A,TopLayer,85.65,27.0,270.0
J3,,532530370,TopLayer,41.3,5.4,0.0
J4,OC-500-10011-RS1-12,OC-500-10011-RS1-12,TopLayer,7.125,27.0,270.0
L2,XFL4020-332MEC,XFL4020-332MEC,TopLayer,26.7,5.6,0.0
M1,NRF9160-SICA-B1A-R,NRF9160-SICA-B1A-R,TopLayer,62.8,27.3,0.0
PATCH1,,9001997,TopLayer,39.7,40.2,270.0
Q1,PMF170XP,PMF170XP,TopLayer,35.4,8.5,270.0
R1,10K-0402-0402-50V,ERJ-2RKF1002X,TopLayer,56.35,35.1,180.0
R20,10K-0402-0402-50V,ERJ-2RKF1002X,TopLayer,37.8,10.7,180.0
R11,1M-0402-0402-50V,ERJ-2RKF1004X,TopLayer,25.4,19.1,270.0
R46,1M-0402-0402-50V,ERJ-2RKF1004X,TopLayer,67.3,38.9,180.0
R49,1M-0402-0402-50V,ERJ-2RKF1004X,TopLayer,51.5,20.1,0.0
R12,47K-0402-0402-50V,ERJ-2RKF4702X,TopLayer,30.9,8.5,0.0
R14,82K-0402-0402-50V,ERJ-2RKF8202X,TopLayer,23.1,8.7,90.0
R17,82K-0402-0402-50V,ERJ-2RKF8202X,TopLayer,30.9,10.7,0.0
R16,51K-0402-0402-50V,ERJ-2RKF5102X,TopLayer,27.9,19.1,270.0
R19,3.9K-0402-0402-50V,ERJ-2RKF3901X,TopLayer,32.6,4.4,180.0
R2,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,38.6,18.0,90.0
R13,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,23.1,12.0,270.0
R15,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,23.1,14.2,90.0
R18,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,39.0,8.5,0.0
R21,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,39.0,10.7,0.0
R22,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,40.2,8.5,180.0
R23,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,6.6,42.25,0.0
R25,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,20.3,21.0,270.0
R29,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,20.3,41.8,270.0
R34,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,22.9,34.1,0.0
R37,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,20.3,32.4,270.0
R47,100K-0402-0402-50V,ERJ-2RKF1003X,TopLayer,38.6,20.2,270.0
R24,4.7K-0402-0402-50V,ERJ-2RKF4701X,TopLayer,5.4,44.5,0.0
R26,10K-0805-0805-150V,ERJ-6GEYJ103V,TopLayer,16.4,22.1,0.0
R32,10K-0805-0805-150V,ERJ-6GEYJ103V,TopLayer,16.4,38.5,0.0
R35,10K-0805-0805-150V,ERJ-6GEYJ103V,TopLayer,16.4,36.5,0.0
R38,10K-0805-0805-150V,ERJ-6GEYJ103V,TopLayer,16.4,30.5,0.0
R28,2.2K-0402-0402-50V,ERJ-2RKF2201X,TopLayer,20.3,26.6,90.0
R30,150R-0603-0603-75V,ERJ-3EKF1500V,TopLayer,16.0,28.8,90.0
R48,10R-0402-0402-50V,ERJ-2RKF10R0X,TopLayer,60.75,35.1,180.0
R5,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,61.8,20.1,180.0
R6,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,59.6,20.1,180.0
R7,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,60.7,20.1,180.0
R9,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,7.35,11.85,0.0
R27,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,52.8,32.4,90.0
R31,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,52.8,24.1,90.0
R33,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,52.8,31.3,90.0
R36,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,52.8,30.2,90.0
R39,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,52.8,23.0,90.0
R40,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,59.65,35.1,180.0
R43,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,58.55,35.1,180.0
R50,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,27.9,20.2,270.0
R51,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,44.0,10.7,0.0
R52,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,41.8,10.7,0.0
R53,150R-0402-0402-50V,ERJ-2RKF1500X,TopLayer,42.9,10.7,0.0
R8,430K-0402-0402-50V,ERJ-2RKF4303X,TopLayer,38.6,19.1,90.0
R10,430K-0402-0402-50V,ERJ-2RKF4303X,TopLayer,23.1,9.8,270.0
RF_P2,0.5PF-0402-50V,GJM1555C1HR50WB01D,TopLayer,79.725,21.445,0.0
RF_P3,LQG15HN4N7S02D,LQG15HN4N7S02D,TopLayer,76.675,20.3,180.0
RF_P4,LQG15HS5N6S02D,LQG15HS5N6S02D,TopLayer,74.3,21.675,270.0
RF_S1,2.4PF-0402-50V,GJM1555C1H2R4BB01D,TopLayer,78.1,20.745,90.0
RF_S2,3.3PF-0402-50V,GJM1555C1H3R3WB01D,TopLayer,75.3,20.775,90.0
RF_S3,6.8PF-0402-50V,GJM1555C1H6R8BB01D,TopLayer,74.85,23.05,0.0
SIM1,78800-0001,78800-0001,TopLayer,69.47,11.095,0.0
U1,74HC595,74HC595PW,TopLayer,33.6746,19.075,0.0
U10,SAFFB1G56KB0F0A,SAFFB1G56KB0F0A,TopLayer,58.0,43.0087,0.0
U11,SSTF032BT-104I-MF,SST26VF032BT-104I-MF,TopLayer,43.325,19.0,0.0
U12,LIS2DH12TR,LIS2DH12TR,TopLayer,63.7875,35.35,90.0
U13,BGM220PC22WGA2,BGM220PC22WGA2,TopLayer,52.8,8.3,180.0
U14,TPS22915CYFPR-2291-5.5V,TPS22915CYFPR,TopLayer,67.7,40.9,270.0
U15,TPS22915CYFPR-2291-5.5V,TPS22915CYFPR,TopLayer,52.8829,19.1076,180.0
U2,TPS54160DGQ,TPS54160DGQ,TopLayer,26.8,11.6,270.0
U3,LTC4065LEDC-4.1#TRMPBF,LTC4065LEDC-4.1TRMPBF,TopLayer,35.1,4.4,180.0
U4,ADP162AUJZ-3.3-R7,ADP162AUJZ-3.3-R7,TopLayer,35.2983,12.7012,90.0
U5,MIC2005-0.5YML-TR,MIC2005-0.5YML-TR,TopLayer,17.875,24.9,0.0
U6,NCV8402ASTT1G,NCV8402ASTT1G,TopLayer,10.7,41.2,270.0
U7,SNC14ARGYR,SN74LVC14ARGYR,TopLayer,21.1001,37.5001,270.0
U8,SNC125ARGYR,SN74LVC125ARGYR,TopLayer,21.1001,29.4001,270.0
U9,MIA-M10Q-00B-01,MIA-M10Q-00B-01,TopLayer,61.8,44.8,180.0
XTAL1,32.768KHZ,ABS05-32.768KHZ-9-T,TopLayer,62.05,41.1,180.0
