Location,Value,Technical Description,X-Column,Y-Column,Rotation
R97,RES-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,270
R98,RES-0603,"330 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2,Bottom,90
R99,1206,"0.056 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",2,Bottom,90
RP1,SIL-R4-SMD,"4.7 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206/3216M",8,Bottom,0
RP3,SIL-R4-SMD,"2.2 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206 (4 X 0603)",8,Bottom,270
RP4,SIL-R4-SMD,"2.2 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206 (4 X 0603)",8,Bottom,0
RP5,SIL-R4-SMD,"4.7 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206/3216M",8,Bottom,270
RP6,SIL-R4-SMD,"4.7 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206/3216M",8,Bottom,180
TZ2,TZ-SMC,"TRANSZORB, TH, 1500W, SMCJ6.5CA",2,Bottom,180
U10,QFN-20L-4X4,"Amplifier, NCS565xMNTXG, QFN20, SMD",21,Bottom,0
U13,QFN48(7X7),"PLC, QFN48, SMD",49,Bottom,180
U2,DGQ_G10,"TPS5401, Regulator adjustable, 500 mA, 5 %, MSOP10, SMD",11,Bottom,180
U3,SOT23,"431, Voltage Reference, 1.24..1.25..16 V, 0.2 W, SOT-23-3, SMD",3,Bottom,270
U4,QFP100-4,"32Bit, FLASH, LQFP100, SMD",100,Bottom,0
U6,SOT223-UPAK,"NCP1072, SMPS Controller, SOT-223, SMD",4,Bottom,180
U7,SOT23-5,"Amplifier, TLV271, SOT23-5, SMD",5,Bottom,0
W3,CON-WIRE-B,"BATTERY SPRING, 9 VOLT",1,Bottom,180
W4,CON-WIRE-B,"BATTERY SPRING, 9 VOLT",1,Bottom,180
X2,XTAL-SMD-3.2X2.5-4P,"Quartz Crystal, 12 MHz, 30 ppm, 10 pF, L3.2 W2.5 H0.7 mm, SMD",4,Bottom,270
X4,XTAL-SMD-3.2X2.5-4P,"Quartz Crystal, 16 MHz, 30 ppm, 8 pF, 3225, SMD",4,Bottom,270
