Altium Designer Pick and Place Locations
C:\Users\Madeline\AppData\Local\TempReleases\Snapshot\1\Production Release\Output Files\Pick Place\Pick Place for dma_G70_V1.1(Production).txt

========================================================================================================================
File Design Information:

Date:       08/03/24
Time:       14:31
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

Designator    Comment                Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                         
C49           8.2nF                  TopLayer C-0402                    27.5000      48.6500      90       "Chip Cap 0402, 50V X7R"                                                                                                                                            
D10           SLD8S33A               TopLayer SLD6S                     32.3250      34.5500      180      "TVS uni-directional SMTO-263 2200/7000W"                                                                                                                           
U7            TPS22915CYFPT          TopLayer FP-YFP0004-MFG            17.9750      6.6500       0        "IC LOAD SWITCH"                                                                                                                                                    
Y1            ABS05-32.768KHZ-9-T    TopLayer FP-ABS05-MFG              5.7000       3.7000       270      "CRYSTAL 32.7680KHZ 9PF SMD"                                                                                                                                        
U12           SN74LVC125ARGYR        TopLayer RGY0014A_V                4.7751       44.3001      270      "Quadruple Bus Buffer Gate With 3-State Outputs, RGY0014A, LARGE T&R"                                                                                               
U11           SN74LVC14ARGYR         TopLayer RGY0014A_V                11.0251      44.3001      270      "Hex Schmitt-Trigger Inverter, RGY0014A, LARGE T&R"                                                                                                                 
U9            BGA824N6E6327XTSA1     TopLayer FP-PG-TSNP-6-MFG          4.6500       6.7000       180      "GPS LNA 1.55-1.615GHZ TSNP6"                                                                                                                                       
U8            SAFFB1G56KB0F0A        TopLayer SAFFB1G56KB0F0A           2.2413       7.1250       270      "SAW Resonator for GNSS, 1.1 x 0.9mm."                                                                                                                              
U6            LIS2DH12TR             TopLayer STM-LGA-12                6.7750       61.0000      180      "MEMS Digital Output Motion Sensor: Ultra-Low-Power High-Performance 3-Axis "Femto" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 12-Pin LGA, RoHS, Tape and Reel"  
U5            ADP162AUJZ-3.3-R7      TopLayer FP-UJ-5-IPC_C             24.1000      48.7000      270      "IC REG LINEAR 3.3V 150MA TSOT5"                                                                                                                                    
U4            LTC4065LEDC-4.1#TRMPBF TopLayer LT-DC6-6_V                38.8000      34.1000      90       "Standalone 250 mA Li-Ion Battery Charger, 3.75 to 5.5 V Vin, 6-pin SON (DC6-6), -40 to 85 degC, Pb-Free, Mini Tape and Reel"                                       
U3            TPS54160DGQ            TopLayer DGQ0010D_M                30.5000      51.5000      0        "Buck Inverting Buck-Boost Step Down Regulator with 3.5 to 60 V Input and 0.8 to 58 V Output, -40 to 150 degC, 10-Pin MSOP-PowerPAD (DGQ), Green (RoHS & no Sb/Br)" 
U2            SST26VF032B            TopLayer SON127P500X600X90-9V      4.7000       56.3500      180      "Dataflash, SPI WSON 8-Pin"                                                                                                                                         
S8            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      21.0250      90       ""                                                                                                                                                                  
S7            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      19.0250      90       ""                                                                                                                                                                  
S6            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      17.0250      90       ""                                                                                                                                                                  
S5            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      15.0250      90       ""                                                                                                                                                                  
S4            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      13.0250      90       ""                                                                                                                                                                  
S3            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      11.0250      90       ""                                                                                                                                                                  
S2            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      9.0250       90       ""                                                                                                                                                                  
S1            "Spark GAP"            TopLayer SPARK_Gap                 31.4000      5.0250       90       ""                                                                                                                                                                  
C44           0R                     TopLayer R-0201                    3.1250       8.5000       270      "Chip Resistor 0201 1%"                                                                                                                                             
R40           150R                   TopLayer R-0402                    9.6250       49.6000      90       "Chip Resistor 0402 1%"                                                                                                                                             
R33           10k                    TopLayer R-0805_V2                 17.6500      44.5250      0        "Chip Resistor 0805 1%"                                                                                                                                             
R38           2.2k                   TopLayer R-0402                    2.5250       39.1500      270      "Chip Resistor 0402 1%"                                                                                                                                             
R37           150R                   TopLayer R-0402                    19.0500      49.6000      270      "Chip Resistor 0402 1%"                                                                                                                                             
R36           10k                    TopLayer R-0805_V2                 23.9250      38.8000      0        "Chip Resistor 0805 1%"                                                                                                                                             
R35           100k                   TopLayer R-0402                    19.9250      38.9000      270      "Chip Resistor 0402 1%"                                                                                                                                             
