PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
CON-WIRE	L8	L-IND-SMD-SHIELDED	2	Bottom	180	984,252	2173,228	Yes	No
CON-WIRE	LED3	VS8JD8	5	Bottom	270	1574,803	1793,307	Yes	No
CON-WIRE	LED4	VS8JD8	5	Bottom	90	1574,803	1104,331	Yes	No
CON-WIRE	M3	HOLE_3.6	1	Top	180	1338,583	1417,323	No	No
XTAL-SMD-CR-4MHZ	M4	HOLE_3.6	1	Top	180	314,961	1417,323	No	No
	M6	HOLE_1	1	Top	0	1574,803	692,913	No	No
	M7	HOLE_1	1	Top	0	1574,803	192,913	No	No
	M8	HOLE_1	1	Top	0	1574,803	137,795	No	No
	M9	HOLE_1	1	Top	0	1574,803	248,031	No	No
	M10	HOLE_1	1	Top	0	1574,803	362,205	No	No
	M11	HOLE_1	1	Top	0	1574,803	637,795	No	No
	M12	HOLE_1	1	Top	0	1574,803	417,677	No	No
	M13	HOLE_1	1	Top	0	1574,803	472,441	No	No
	M14	HOLE_1	1	Top	0	1574,803	527,559	No	No
	M15	HOLE_1	1	Top	0	1574,803	582,677	No	No
	M16	HOLE_1	1	Top	0	1574,803	307,087	No	No
	M17	HOLE_1	1	Top	0	1574,843	82,677	No	No
	M18	HOLE_1	1	Top	0	1574,803	27,559	No	No
	M19	HOLE_3	1	Top	0	3836,614	740,157	No	No
	M20	HOLE_3	1	Top	90	2795,276	2057,087	No	No
	M21	HOLE_3	1	Top	180	1753,937	740,157	No	No
	MD	TEST-POINT-ICT-TH	1	Top	180	4213,78	1196,457	No	No
	MOV2	MOV-14-3PINS	3	Bottom	0	425,197	2291,339	No	No
	Q1	SOT23	3	Bottom	0	1730,328	1102,034	Yes	No
	Q2	SOT23	3	Bottom	270	2940,486	118,648	Yes	No
	Q3	SOT23	3	Bottom	0	2508,451	221,343	Yes	No
	Q4	SOT23	3	Bottom	270	2764,199	118,648	Yes	No
	Q5	SOT23	3	Bottom	180	2823	1431	Yes	No
	Q6	SOT23	3	Bottom	180	2837,7	879,7	Yes	No
	Q7	SOT23	3	Bottom	270	1646,046	2060,26	Yes	No
	Q8	SOT23	3	Bottom	0	2079,278	1995,827	Yes	No
	Q9	SOT23	3	Bottom	180	3659,801	739,52	Yes	No
	Q10	SOT23	3	Bottom	270	2832	1857	Yes	No
	Q18	SOT23	3	Bottom	270	2232,953	503,071	Yes	No
	Q19	SOT23	3	Bottom	270	2040,394	503,071	Yes	No
	Q20	SOT23	3	Bottom	180	1855,026	421,982	Yes	No
