PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
	R93	RES-0603	2	Bottom	270	3183,858	1588,189	Yes	No
	R94	RES-0603	2	Bottom	90	3058	1764,05	Yes	No
	R95	RES-0603	2	Bottom	180	2389,764	674,803	Yes	No
	R96	RES-0603	2	Bottom	270	1854,003	682,284	Yes	No
	R97	RES-0603	2	Bottom	270	1929,134	682,283	Yes	No
	R98	RES-0603	2	Bottom	90	2362,598	490,157	Yes	No
	R99	1206	2	Bottom	90	1573	1336	Yes	No
	R102	RES-0603	2	Bottom	270	2003,937	716,14	Yes	No
	R103	RES-0603	2	Bottom	180	2032,677	825,591	Yes	No
	R104	RES-0603	2	Bottom	270	2897,756	280,433	Yes	No
	R105	RES-0603	2	Bottom	0	2425,984	753,543	Yes	No
	RP1	SIL-R4-SMD	8	Bottom	0	4143,7	1359,4	Yes	No
	RP3	SIL-R4-SMD	8	Bottom	270	4272,949	2021,122	Yes	No
	RP4	SIL-R4-SMD	8	Bottom	0	3980	1632	Yes	No
	RP5	SIL-R4-SMD	8	Bottom	270	3035	427,15	Yes	No
	RP6	SIL-R4-SMD	8	Bottom	180	4006,017	781,489	Yes	No
	RST	TEST-POINT-ICT-TH	1	Top	180	4140,945	975	No	No
	SW_RESET	TEST-POINT-ICT-TH	1	Top	0	3350	1400	No	No
	TCK	TEST-POINT-ICT-TH	1	Top	180	4213,78	1107,874	No	No
	TDI	TEST-POINT-ICT-TH	1	Top	180	4213,78	1019,291	No	No
	TDO	TEST-POINT-ICT-TH	1	Top	180	4140,945	886,417	No	No
	TMS	TEST-POINT-ICT-TH	1	Top	180	4213,78	930,709	No	No
	TP1	TEST-POINT-ICT-TH	1	Top	0	1023,504	1583,419	No	No
	TP2	TEST-POINT-ICT-TH	1	Top	0	1200,775	1858,053	No	No
	TP3	TEST-POINT-ICT-TH	1	Top	0	1416,644	900,422	No	No
	TP4	TEST-POINT-ICT-TH	1	Top	0	1912,992	931,64	No	No
	TP5	TEST-POINT-ICT-TH	1	Top	0	303,043	909,895	No	No
	TP6	TEST-POINT-ICT-TH	1	Top	0	530,296	923,978	No	No
	TP7	TEST-POINT-ICT-TH	1	Top	0	2943,622	373,858	No	No
	TP8	TEST-POINT-ICT-TH	1	Top	0	2471,273	607,703	No	No
	TP9	TEST-POINT-ICT-TH	1	Top	0	2472,667	134,314	No	No
	TP10	TP_16DRL_60_31	1	Top	0	3959,173	506,299	No	No
	TP11	TEST-POINT-ICT-TH	1	Top	0	2740,945	1722,835	No	No
	TP12	TP_16DRL_60_31	1	Top	0	3818,898	457,087	No	No
	TP13	TP_16DRL_60_31	1	Top	0	3959,173	407,874	No	No
	TP14	TP_16DRL_60_31	1	Top	0	3959,173	309,449	No	No
	TP15	TP_16DRL_60_31	1	Top	0	3818,898	260,236	No	No
	TP16	TP_16DRL_60_31	1	Top	0	3959,173	211,024	No	No
	TP17	TP_16DRL_60_31	1	Top	0	3818,898	161,811	No	No
	TP18	TEST-POINT-ICT-TH	1	Top	0	2505,756	1155,509	No	No
	TP19	TEST-POINT-ICT-TH	1	Top	0	2982,437	1723	No	No
	TP20	TEST-POINT-ICT-TH	1	Top	0	1909,606	1647,03	No	No
	TP21	TEST-POINT-ICT-TH	1	Top	0	2500,906	1812,99	No	No
	TP22	TEST-POINT-ICT-TH	1	Top	0	3608	1370	No	No
	TP23	TEST-POINT-ICT-TH	1	Top	0	2730,27	1000	No	No
	TP24	TEST-POINT-ICT-TH	1	Top	0	2637,638	531,496	No	No
	TP25	TEST-POINT-ICT-TH	1	Top	0	2785,953	531,496	No	No
	TP26	TEST-POINT-ICT-TH	1	Top	0	4226,975	2149,298	No	No
	TP27	TEST-POINT-ICT-TH	1	Top	0	4035,496	2112,746	No	No
	TP28	TEST-POINT-ICT-TH	1	Top	0	3355,711	2545,511	No	No
	TP29	TEST-POINT-ICT-TH	1	Top	0	3197,745	2431,43	No	No
